"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
-1.035,0.04,1.289,0.406,2.676,-0.982,-0.982,0.595,0.975,1.777,1.188,2.546,-0.918,-0.476,0.73,-1.425,-0.62,-2.713,0.45,-0.534,-2.068,1.676,0.081,0.94,0.062,-1.856,-1.173,1.558,-0.604,-1,-0.121,-0.269,-1.969,-1.17,-1.59,-0.982,-0.832,0.918,0.64,0.391,-1.313,0.355,1.246,-0.666,-0.074,0.881,0.482,-2.083,0.007,0.921,0.551,0.312,0.372,-0.48,-0.385,-1.051,0.898,0.567,0.104,-2.195,-1.046,-1.341,0.086,0.459,0.882,-1.823,0.304,-0.288,0.347,-0.745,-0.055,-0.328,0.124,1.179,0.6,-0.275,-0.203,-0.283,-0.049,2.409,0.112,1.344,0.03,0.256,-0.615,-1.523,0.35,0.777,-0.202,-0.797,-1.561,0.484,0.274,-0.183,-0.426,-0.825,0.208,-0.491,0.172,1.184
-0.556,-0.952,-0.316,0.643,3.114,-1.455,-1.455,-0.218,0.302,-1.369,0.011,-1.158,-0.9,-1.028,1.088,0.907,-0.548,-0.677,0.848,-0.033,0.511,-0.92,0.141,0.782,-1.118,0.663,0.544,-1.523,-0.734,-1.109,1.192,0.761,-0.999,-1.417,0.72,0.807,-0.131,0.838,-1.109,0.496,-1.317,0.687,1.858,0.743,-0.354,-0.626,0.645,2.34,-0.555,-0.28,-1.165,1.568,0.785,-0.126,-2.489,-0.852,1.056,-0.09,1.915,-2.203,0.706,-0.239,0.514,0.424,-1.07,-1.463,-0.478,-0.346,-1.247,0.368,-2.912,-0.899,-0.416,-1.298,0.511,-0.198,0.665,0.956,1.419,0.987,0.283,-0.471,0.917,0.223,-0.114,-0.726,0.306,-1.953,0.246,1.902,-1.166,0.756,0.088,0.398,0.012,1.266,0.477,0.634,-1,-1.101
-1.112,1.1,-1.449,2.265,-2.543,0.954,0.954,1.34,-0.193,0.619,0.831,-0.501,-0.139,0.593,-0.931,-0.443,-0.416,2.034,-0.72,-0.247,2.354,-0.236,0.236,1.19,-0.118,-0.203,-0.68,-1.047,-1.444,0.626,0.656,0.18,0.105,2.201,-1.047,-0.302,0.428,-0.199,1.359,-0.131,1.211,-1.817,-1.326,-0.725,-0.113,0.227,0.111,0.915,0.422,-0.692,-0.496,-0.471,-0.047,0.888,0.545,-0.042,0.759,-0.651,-0.833,-0.473,0.125,0.064,-1.17,-1.204,-0.895,-0.224,0.569,1.319,0.861,1.015,1.523,-0.682,-1.261,-0.081,-0.334,-0.333,-0.266,-0.627,-2.114,-2.335,-0.942,-0.424,-1.511,0.475,-0.54,0.106,0.014,1.838,2.561,0.693,0.494,0.389,-0.744,-0.594,0.947,1.469,0.894,0.069,0.04,-1.035
-0.686,-1.939,-1.021,-0.276,7.55,1.188,1.188,0.936,-0.825,-0.282,0.128,-1.15,0.193,0.079,-0.872,0.318,-1.936,-0.206,-1.701,1.033,1.158,0.087,1.604,-1.649,-0.072,0.213,-1.009,-0.014,0.868,0.094,-0.765,-1.081,-1.602,-0.753,-1.222,0.593,-1.013,-0.685,0.064,0.251,0.76,-0.206,0.267,0.169,0.119,0.994,-0.668,0.966,1.716,0.11,-0.352,-0.787,-1.017,-1.474,0.01,-0.066,0.373,-0.395,0.994,-0.952,-0.328,0.24,1.757,-0.328,0.562,-0.345,-2.121,1.044,0.401,1.747,-0.778,0.374,-2.138,-0.288,-1.319,-0.289,-0.524,-1.531,0.577,1.146,0.203,-1.416,0.67,0.116,0.37,-0.73,0.015,-0.403,-0.416,1.667,0.305,1.477,0.604,0.669,-0.407,-1.231,-0.068,-0.793,-0.746,0.695
-1.825,-1.064,0.391,-0.063,2.041,1.442,1.442,0.384,-0.343,-0.098,1.314,-0.317,1.52,1.965,0.776,-0.784,0.186,1.976,0.593,0.038,0.733,1.075,0.943,-0.218,0.849,-0.291,-0.516,0.453,2.077,1.08,-0.839,0.707,-1.058,-0.417,0.197,0.973,1.104,1.451,-0.684,0.765,0.13,-0.273,-0.725,-0.153,-0.441,0.347,-2.152,-0.452,-0.401,0.341,2.547,-1.46,0.914,1.462,-0.25,-1.523,-0.93,-0.061,0.307,0.792,0.878,0.864,-0.008,0.365,0.753,0.022,-0.13,0.854,-0.606,-1.643,0.78,1.279,-0.466,0.713,-1.278,0.106,0.364,-0.658,-0.064,0.577,0.752,-0.189,0.845,-1.962,1.474,1.328,-1.366,1.626,-1.367,-0.065,1.343,0.143,-0.687,1.103,-1.394,-2.194,0.553,1.302,-0.452,1.625
0.067,0.019,0.096,0.066,-1.72,1.361,1.361,-1.47,-0.939,0.162,0.127,0.492,0.162,1.971,0.759,0.367,-0.257,-0.626,0.553,-0.999,0.24,-0.005,-0.777,-1.097,-0.019,-1.902,-0.026,-0.223,0.31,-0.559,-1.349,-0.276,-0.916,-1.326,-0.485,-1.635,1.299,-0.673,-0.021,-0.824,-2.125,0.426,-1.32,-1.765,0.048,0.115,1.941,0.774,-0.246,-0.615,-0.302,0.086,0.366,-1.25,-0.835,-1.676,1.683,-0.428,-0.8,-0.807,-0.785,0.212,0.388,-0.628,2.26,1.317,-0.551,0.869,2.101,-1.682,0.819,-1.481,-0.011,-0.768,-0.69,-2.122,0.246,1.696,-0.74,-0.103,0.706,0.137,0.086,1.145,1.161,-1.239,-0.2,-0.906,0.971,-0.721,-2.355,-1.317,-0.513,2.026,0.265,-0.007,0.195,2.54,-1.693,0.757
-2.652,0.093,-2.271,0.019,2.79,1.541,1.541,0.943,-1.634,-0.496,-1.044,-0.12,-0.222,-0.878,1.13,0.573,1.68,-0.63,2.407,-0.664,-0.478,0.097,-1.13,0.438,1.374,0.26,0.931,0.951,0.545,-0.054,-1.017,-0.063,-0.657,-1.702,-0.489,-0.026,1.638,-1.068,-0.502,-0.529,1.439,-0.65,1.271,-0.727,-0.358,0.087,0.272,-0.522,0.621,-1.056,2.033,-0.813,1.755,-1.058,0.571,-1.475,-1.901,0.554,1.304,-0.066,1.505,-0.468,-1.394,-0.815,1.063,0.299,0.406,-0.384,-1.865,0.42,0.358,-0.058,-0.094,0.581,-0.181,-0.671,-1.179,-0.859,0.068,0.132,-0.282,-1.176,0.3,0.807,-2.019,-1.805,-1.548,2.176,1.433,-0.115,1.495,0.523,0.173,1.927,1.109,-1.687,0.149,-1.278,-0.713,0.349
0.447,-0.526,1.1,0.116,0.929,-0.181,0.181,1.257,0.381,-0.41,-0.763,-0.299,-1.477,-0.55,0.949,0.134,-0.232,-0.239,-0.353,1.212,-1.507,-0.535,1.61,-1.197,-0.601,1.371,-0.216,1.356,-0.03,-0.719,-1.369,-0.434,0.196,-1.337,-0.213,-1.507,1.104,-0.21,1.918,-0.616,-1.698,1.902,-0.227,0.145,-0.351,0.212,0.754,-0.085,0.138,-0.263,-0.444,0.415,0.523,0.89,0.761,1.265,1.58,-0.694,1.133,-1.746,-0.155,0.449,2.269,1.484,-0.442,-0.115,0.445,0.837,-0.136,0.462,0.384,-0.914,-0.149,1.154,-0.191,1.625,-0.373,-2.317,1.459,0.419,-0.016,1.119,-1.1,-1.661,-0.397,-0.517,1.307,0.748,-1.432,0.645,-0.963,0.314,-0.302,-0.558,0.208,-0.831,-1.093,-0.136,0.746,-0.216
-1.352,-0.041,-1.248,-0.184,-1.075,0.404,-0.404,-0.029,-0.802,0.481,0.424,-0.906,-0.769,-0.805,0.326,1.184,-1.491,0.097,0.427,-1.383,-1.918,-2.099,0.075,1.229,-0.644,0.521,0.336,-1.041,-1.521,-1.57,0.558,-0.849,0.512,-0.385,-0.596,-0.433,2.773,-0.125,-1.966,-0.389,-1.035,-0.234,0.144,0.452,-0.942,-0.222,-1.817,-0.808,0.303,-1.881,-0.238,1.073,1.937,0.372,1.577,1.219,-0.603,0.559,-0.646,0.888,0.63,1.569,0.896,1.014,-1.149,0.642,0.314,0.415,1.138,-0.846,0.409,0.227,-1.095,0.345,-1.672,0.783,0.378,0.699,-1.941,1.587,-0.066,-0.181,-1.716,1.337,-1.543,1.452,-0.73,0.62,-0.817,-0.25,-0.149,0.628,-1.962,-0.097,2.191,0.536,0.643,-0.511,-1.58,1.478
-0.032,0.073,-0.065,-0.318,1.885,-0.283,0.283,0.218,-0.199,-0.331,0.865,-1.22,1.138,0.952,0.397,0.082,-0.3,-2.052,0.614,-1.461,-0.551,1.64,0.84,-0.51,1.15,0.377,-0.132,-0.737,2.292,0.201,-0.649,0.334,0.851,1.435,1.508,1.146,-0.21,1.117,-0.804,-1.444,1.089,-0.801,1.7,0.465,-1.775,-0.41,0.089,0.53,1.009,0.929,-1.498,-1.153,-0.854,-0.881,-0.582,-0.449,0.908,-0.476,0.448,1.033,1.782,-0.357,-0.786,-0.115,1.458,2.393,-0.827,-1.244,-0.629,-0.262,0.246,-0.806,0.556,-0.035,3.09,-0.435,1.065,-0.452,-0.796,2.674,0.226,-0.364,-0.134,2.214,0.117,0.651,0.103,1.237,0.429,-0.378,-0.851,0.737,0.102,1.638,-0.133,0.338,-0.926,-1.404,-0.378,0.386
0.678,0.146,-0.872,-1.821,-0.672,-0.244,0.244,-0.056,1.869,1.093,0.169,0.978,0.864,-0.974,-0.375,0.296,0.378,-0.541,0.352,-0.31,0.272,-0.11,0.814,1.393,2.241,-1.079,1.232,1.358,-0.551,-1.418,0.563,-0.634,1.751,0.729,-0.218,0.514,0.276,-0.563,-1.114,-0.739,0.04,0.768,-1.186,2.011,-0.245,0.035,1.004,-0.439,-0.772,-1.169,1.352,-0.125,-0.464,-3.136,0.744,-2.17,1.59,0.657,0.518,-1.25,-0.379,1.144,-1.011,0.177,0.594,0.999,0.852,0.378,-0.683,0.439,-1.857,-2.98,1.179,-1.122,-1.045,0.014,-0.964,0.666,1.125,-0.802,-1.012,-0.599,0.117,1.215,0.134,1.074,-0.512,0.185,-1.911,1.774,-0.233,-0.659,0.194,0.139,-0.962,0.874,1.525,-0.005,1.099,0.63
-1.191,1.377,0.606,0.967,-2.214,1.669,1.669,-1.463,0.469,-0.53,2.293,1.331,0.255,0.59,-1.388,1.21,2.307,-0.795,-0.466,0.822,0.328,0.93,-1.391,-0.23,-1.468,-0.316,0.082,1.054,0.956,1.018,-0.205,-0.79,-0.028,-1.072,1.254,-0.417,0.216,-1.124,0.494,-0.374,-0.99,1.064,-0.274,-0.024,-1.68,-0.621,-0.336,-1.063,-0.078,-0.675,-0.683,-0.365,1.015,0.205,0.898,-2.16,0.99,-0.804,0.471,-0.588,0.599,-0.781,0.846,-0.157,1.217,-0.712,0.447,-0.857,-0.47,0.046,-0.318,1.67,0.575,1.144,1.523,0.758,-0.875,0.277,0.418,1.074,-1.19,-0.744,0.398,-0.575,-0.835,0.84,0.433,0.385,-0.46,0.43,-0.165,-1.599,1.869,0.444,-0.282,-0.078,-0.04,-1.324,0.806,-0.078
0.695,0.261,0.836,0.173,0.927,0.705,0.705,0.004,-2.01,2.807,-1.162,1.788,1.626,-0.246,-2.535,-0.371,0.916,1.257,-0.617,-1.058,0.766,-0.707,-0.688,-2.049,-0.458,0.168,-1.716,2.003,1.264,-0.123,0.115,0.654,-0.028,-0.177,0.196,-2.506,-0.084,0.169,1.802,-0.847,-0.309,-1.189,0.955,-1.05,-0.152,0.207,-0.81,-0.479,-0.371,1.101,0.057,-0.22,-0.489,-0.373,-1.133,-1.241,-0.501,-0.38,-0.151,1.552,-0.405,1.525,0.171,-0.612,0.831,-1.881,-0.76,-0.823,0.104,-1.443,-0.53,0.153,-0.971,1.591,1.267,-1.435,-0.043,0.886,-0.644,-0.938,1.401,-0.096,0.116,-0.041,-0.23,1.171,1.586,0.979,0.613,-0.888,0.593,1.12,-0.887,1.947,1.394,1.563,0.711,-0.145,0.083,0.455
1.563,2.04,0.084,-0.766,0.803,0.823,0.823,0.394,-0.021,-0.696,-0.829,0.599,0.552,-0.312,1.005,-0.393,-0.799,-0.183,-1.544,0.836,-1.937,0.051,-0.077,-0.08,1.3,0.562,-0.595,-0.551,1.01,0.784,0.735,-0.083,-1.125,-0.824,-0.046,-1.369,1.148,1.085,0.941,-0.162,0.268,-0.769,1.065,-0.066,0.383,-0.226,-0.823,-0.593,0.321,-0.553,-1.9,0.125,0.776,0.875,0.266,0.346,-1.621,-1.728,-0.128,-1.09,-0.485,-0.151,-0.881,0.977,-0.411,0.937,0.247,-0.536,-0.067,0.365,-0.145,0.96,-0.755,-1.083,-0.932,-0.801,0.662,1.747,1.005,-1.217,0.749,-0.028,-0.291,1.248,-0.488,-0.76,0.368,0.845,-1.258,-0.948,-0.259,-0.601,-0.01,0.03,0.558,0.279,0.793,0.809,-0.069,1.138
0.118,1.022,-0.814,0.693,1.278,-1.011,-1.011,-0.071,1.099,0.392,-0.579,-1.633,0.254,-0.475,0.214,0.799,1.543,1.022,0.082,1.024,-0.603,0.676,-1.609,-0.428,-1.669,1.526,-1.844,0.791,-0.456,-0.344,0.796,-1.715,-1.085,-0.325,-0.579,1.742,-1.946,0.298,1.315,-1.577,-1.323,-0.563,-2.187,-2.388,1.024,1.287,0.597,-1.439,-0.531,0.415,0.206,-1.197,-0.551,1.019,-0.02,0.431,-0.657,-0.096,-1.16,0.679,1.027,-0.709,0.15,-0.629,0.992,-1.705,-0.223,-0.347,-0.904,1.235,-1.058,0.965,1.269,-0.1,-1.119,1.355,1.908,0.311,-0.438,0.961,0.428,-0.21,0.64,-0.493,-0.53,-1.151,-0.033,-0.355,-0.651,-0.126,-0.506,0.219,-1.46,-0.438,-0.178,-0.164,0.295,-0.011,0.676,0.234
0.202,0.137,0.989,-0.085,1.536,0.448,-0.448,-0.417,2.353,-1.512,0.85,0.518,1.174,-2.449,-0.866,-0.871,-0.485,0.458,-1.045,0.034,1.331,-0.013,0.734,-1.373,1.717,0.671,1.062,-0.181,-1.371,-1.096,0.487,0.541,0.135,0.035,0.093,0.503,-1.217,1.122,-0.706,1.266,-1.411,0.053,0.846,0.355,-0.528,-0.248,1.748,-1.075,-0.274,0.23,0.116,0.568,-0.254,0.764,2.251,-0.773,-0.157,-0.554,1.237,-0.08,-0.377,1.009,-0.352,-0.618,0.082,-0.909,-1.214,-0.163,0.415,0.785,1.113,3.013,-2.391,0.342,0.717,-0.328,0.757,-0.613,0.957,1.873,-0.75,0.231,-0.507,0.108,1.07,-0.015,-0.808,0.901,0.053,0.233,2.093,0.284,-0.869,-0.684,1.212,-0.343,1.394,-0.832,-0.628,-0.146
-0.498,-0.494,-0.54,-1.888,-2.111,-1.046,-1.046,-0.93,1.374,1.08,1.746,0.73,-1.561,-1.229,0.659,0.561,-1.514,0.103,0.855,-0.158,1.865,1.525,-0.23,-0.007,0.449,-0.132,0.811,1.112,2.359,-0.335,2.343,1.781,1.33,-2.418,0.175,0.62,-0.112,1.062,1.858,0.628,0.593,-0.951,1.296,-0.403,0.305,1.252,1.197,-0.011,-0.914,1.484,-0.192,0.56,0.112,1.144,2.104,-0.153,-0.761,-0.347,1.064,0.884,0.457,1.168,0.911,0.184,-0.924,-0.054,-1.524,-1.063,0.629,-0.042,0.712,-0.42,0.094,-0.364,-0.014,1.03,-0.112,-0.394,-0.463,0.291,-0.976,-1.009,-0.431,-0.464,-1.691,1.178,-0.667,0.059,0.318,0.154,-2.371,0.207,1.184,-0.035,0.664,1.637,0.491,-0.139,-0.951,-1.505
