Publicerad	Period	Institut	VänsterpartietV	SocialdemokraternaS	MiljöpartietMP	CenterpartietC	LiberalernaL	ModeraternaM	KristdemokraternaKD	SverigedemokraternaSD	Övriga partierÖvriga
10 maj	8 apr - 5 maj	Novus	8.8 %	26.4 %	4.6 %	8.8 %	3.5 %	18.0 %	10.7 %	17.8 %	1.4 %
10 maj	29 apr - 7 maj	Demoskop	8.7 %	26.6 %	4.3 %	9.1 %	3.1 %	15.7 %	11.5 %	19.2 %	1.8 %
17 maj	6 - 16 maj	Sifo	8.9 %	27.0 %	4.5 %	8.2 %	3.8 %	15.9 %	12.0 %	18.1 %	1.6 %
21 maj	6 - 21 maj	Ipsos	10.0 %	26.0 %	4.0 %	9.0 %	4.0 %	16.0 %	12.0 %	17.0 %	2.0 %
24 maj	17 - 21 maj	Sentio	10.1 %	25.0 %	4.7 %	6.8 %	3.3 %	15.5 %	10.4 %	21.2 %	3.0 %
31 maj	21 - 28 maj	Inizio	8.3 %	26.1 %	4.4 %	10.1 %	3.0 %	18.2 %	9.0 %	18.4 %	2.5 %
2 jun	29 apr - 28 maj	SCB	8.7 %	27.6 %	5.6 %	6.9 %	3.7 %	16.0 %	13.0 %	17.1 %	1.4 %
6 jun	6 maj - 2 jun	Novus	9.0 %	25.9 %	5.5 %	8.7 %	4.1 %	17.7 %	10.0 %	17.6 %	1.5 %
7 jun	26 maj - 3 jun	Demoskop	8.0 %	27.1 %	5.1 %	8.9 %	3.8 %	18.2 %	7.5 %	19.9 %	1.5 %
8 jun	19 - 24 maj	Skop	10.5 %	25.3 %	3.7 %	9.6 %	4.0 %	16.4 %	12.8 %	16.9 %	0.8 %
14 jun	3 - 13 jun	Sifo	8.6 %	26.5 %	4.9 %	8.8 %	3.7 %	18.4 %	9.5 %	18.1 %	1.5 %
20 jun	2 - 15 jun	Ipsos	10.0 %	25.0 %	5.0 %	9.0 %	5.0 %	17.0 %	8.0 %	19.0 %	2.0 %
21 jun	3 - 13 jun	Sentio	8.8 %	25.7 %	4.8 %	7.4 %	3.7 %	17.0 %	7.9 %	21.8 %	2.9 %
27 jun	3 - 23 jun	Novus	9.0 %	26.7 %	5.9 %	10.1 %	3.6 %	18.8 %	7.7 %	16.7 %	1.5 %
27 jun	20 - 26 jun	Inizio	8.3 %	25.4 %	5.0 %	9.4 %	3.6 %	19.7 %	7.0 %	19.4 %	2.2 %
3 jul	24 jun - 1 jul	Demoskop	7.9 %	25.9 %	5.3 %	9.3 %	4.1 %	17.6 %	8.0 %	19.6 %	2.3 %
20 jul	25 jun - 16 jul	Skop	8.9 %	25.6 %	4.7 %	9.5 %	5.7 %	17.0 %	9.2 %	18.0 %	1.4 %
12 aug	1 - 8 aug	Inizio	8.5 %	25.6 %	3.6 %	10.3 %	3.6 %	19.6 %	7.3 %	19.7 %	1.8 %
16 aug	5 - 15 aug	Sifo	8.7 %	26.8 %	4.9 %	8.8 %	3.8 %	19.1 %	8.4 %	18.2 %	1.3 %
27 aug	5 - 25 aug	Novus	9.0 %	26.3 %	5.6 %	9.4 %	3.7 %	18.5 %	7.2 %	18.4 %	1.9 %
28 aug	13 - 25 aug	Ipsos	10.0 %	26.0 %	6.0 %	8.0 %	5.0 %	17.0 %	7.0 %	19.0 %	2.0 %
29 aug	22 - 27 aug	Sentio	10.5 %	23.2 %	4.7 %	6.1 %	5.4 %	18.3 %	5.8 %	23.5 %	2.5 %
30 aug	22 - 28 aug	Inizio	7.9 %	25.5 %	4.2 %	9.4 %	4.2 %	18.3 %	7.7 %	21.0 %	1.8 %
5 sep	27 aug - 3 sep	Demoskop	8.4 %	24.0 %	4.9 %	8.4 %	4.6 %	19.4 %	6.5 %	21.4 %	2.4 %
13 sep	2 - 12 sep	Sifo	8.5 %	25.8 %	5.1 %	8.6 %	4.2 %	18.9 %	7.3 %	20.2 %	1.4 %
25 sep	10 - 18 sep	Ipsos	9.0 %	26.0 %	5.0 %	9.0 %	5.0 %	19.0 %	7.0 %	19.0 %	1.0 %
26 sep	26 aug - 22 sep	Novus	9.2 %	24.7 %	4.9 %	8.0 %	3.5 %	20.4 %	6.8 %	20.7 %	1.8 %
26 sep	20 - 24 sep	Sentio	9.4 %	23.9 %	3.9 %	6.1 %	3.9 %	17.1 %	6.0 %	27.5 %	2.2 %
26 sep	20 - 25 sep	Inizio	8.5 %	23.9 %	4.2 %	9.9 %	3.5 %	19.0 %	6.0 %	22.5 %	2.5 %
4 okt	24 sep - 1 okt	Demoskop	8.6 %	23.1 %	5.0 %	8.3 %	3.9 %	19.5 %	6.6 %	22.8 %	2.2 %
17 okt	8 - 14 okt	Inizio	8.0 %	24.7 %	4.2 %	10.1 %	3.2 %	19.3 %	6.5 %	22.6 %	1.4 %
18 okt	7 - 17 okt	Sifo	9.2 %	24.9 %	5.0 %	8.4 %	3.9 %	17.7 %	6.7 %	22.7 %	1.5 %
23 okt	8 - 21 okt	Ipsos	10.0 %	24.0 %	5.0 %	8.0 %	4.0 %	16.0 %	8.0 %	23.0 %	2.0 %
24 okt	23 sep - 20 okt	Novus	8.4 %	25.8 %	5.0 %	8.5 %	3.7 %	19.5 %	7.0 %	20.5 %	1.6 %
25 okt	18 - 24 okt	Sentio	9.6 %	24.2 %	4.2 %	6.4 %	4.7 %	16.8 %	6.4 %	25.4 %	2.3 %
15 nov	4 - 14 nov	Sifo	9.7 %	24.4 %	4.7 %	8.3 %	3.6 %	17.0 %	7.9 %	23.0 %	1.4 %
15 nov	4 - 13 nov	Demoskop	9.8 %	22.2 %	4.8 %	7.7 %	3.9 %	17.8 %	7.6 %	24.0 %	2.2 %
20 nov	15 - 19 nov	Sentio	8.5 %	22.5 %	4.9 %	7.0 %	2.5 %	16.9 %	6.8 %	28.5 %	2.4 %
21 nov	21 okt - 17 nov	Novus	9.3 %	26.0 %	4.8 %	7.8 %	3.4 %	18.3 %	7.1 %	21.5 %	1.8 %
26 nov	11 - 24 nov	Ipsos	8.0 %	25.0 %	5.0 %	8.0 %	3.0 %	17.0 %	7.0 %	25.0 %	2.0 %
3 dec	28 okt - 26 nov	SCB	8.1 %	26.3 %	5.1 %	7.3 %	4.1 %	18.3 %	6.6 %	22.6 %	1.6 %
6 dec	26 nov - 4 dec	Demoskop	7.9 %	24.3 %	4.4 %	9.6 %	3.9 %	17.5 %	5.9 %	25.4 %	1.1 %
13 dec	2 - 12 dec	Sifo	9.7 %	24.6 %	4.7 %	8.0 %	4.0 %	17.2 %	6.0 %	24.4 %	1.4 %
19 dec	18 nov - 15 dec	Novus	9.9 %	23.7 %	5.0 %	8.3 %	3.5 %	17.9 %	6.2 %	24.0 %	1.5 %
19 dec	3 - 15 dec	Ipsos	10.0 %	25.0 %	5.0 %	8.0 %	5.0 %	16.0 %	6.0 %	24.0 %	1.0 %
20 dec	13 - 18 dec	Sentio	10.1 %	21.1 %	4.5 %	6.8 %	3.2 %	16.5 %	6.3 %	29.1 %	2.4 %	
10 jan	30 dec - 7 jan	Demoskop	9.0 %	23.4 %	4.8 %	9.5 %	3.1 %	18.2 %	5.9 %	24.5 %	1.6 %
17 jan	6 - 16 jan	Sifo	10.2 %	23.5 %	4.5 %	8.5 %	3.9 %	17.5 %	6.6 %	23.8 %	1.5 %
28 jan	14 - 27 jan	Ipsos	11.0 %	23.0 %	4.0 %	9.0 %	4.0 %	17.0 %	7.0 %	24.0 %	1.0 %
30 jan	7 - 26 jan	Novus	10.4 %	24.2 %	4.6 %	8.7 %	3.5 %	18.3 %	6.1 %	22.6 %	1.6 %
30 jan	14 - 24 jan	Skop	10.7 %	23.1 %	4.1 %	9.6 %	3.8 %	17.4 %	6.7 %	23.3 %	1.3 %
30 jan	24 - 28 jan	Sentio	9.7 %	22.1 %	4.0 %	7.0 %	2.4 %	16.6 %	7.8 %	28.8 %	1.6 %
7 feb	25 jan - 5 feb	Demoskop	9.3 %	24.7 %	3.8 %	8.9 %	3.2 %	18.9 %	6.3 %	23.5 %	1.4 %
14 feb	3 - 13 feb	Sifo	11.4 %	23.6 %	4.2 %	8.1 %	4.4 %	17.5 %	6.1 %	23.3 %	1.4 %
20 feb	27 jan - 16 feb	Novus	10.9 %	23.2 %	4.5 %	8.1 %	3.9 %	18.0 %	5.9 %	23.9 %	1.6 %
26 feb	11 - 23 feb	Ipsos	11.0 %	22.0 %	5.0 %	8.0 %	4.0 %	18.0 %	8.0 %	23.0 %	1.0 %
26 feb	21 - 24 feb	Sentio	11.1 %	21.5 %	3.6 %	7.9 %	1.8 %	19.6 %	5.3 %	27.8 %	1.4 %
7 mar	25 feb - 3 mar	Demoskop	10.4 %	22.6 %	3.1 %	9.4 %	4.1 %	19.5 %	7.5 %	22.1 %	1.3 %
13 mar	2 - 12 mar	Sifo	11.2 %	23.8 %	4.0 %	8.4 %	4.1 %	18.0 %	6.8 %	22.2 %	1.5 %
25 mar	24 feb - 22 mar	Novus	9.8 %	25.6 %	4.5 %	8.1 %	3.8 %	18.0 %	6.5 %	22.0 %	1.7 %
25 mar	10 - 22 mar	Ipsos	11.9 %	24.8 %	4.0 %	6.9 %	5.0 %	18.8 %	5.9 %	21.8 %	1.0 %
26 mar	20 - 24 mar	Sentio	10.5 %	22.0 %	5.2 %	7.1 %	2.3 %	19.5 %	7.1 %	24.9 %	1.4 %
3 apr	25 mar - 1 apr	Demoskop	7.7 %	27.9 %	4.0 %	10.0 %	3.0 %	19.2 %	6.7 %	20.8 %	0.7 %
9 apr	30 mar - 8 apr	Sifo	9.4 %	30.6 %	3.5 %	6.9 %	3.8 %	19.2 %	5.9 %	19.5 %	1.2 %
23 apr	30 mar - 19 apr	Novus	9.5 %	30.4 %	3.8 %	7.7 %	2.8 %	18.7 %	6.1 %	19.7 %	1.3 %
28 apr	17 - 21 apr	Sentio	9.0 %	27.5 %	4.1 %	5.8 %	3.4 %	18.7 %	5.4 %	24.2 %	1.9 %
30 apr	14 - 26 apr	Ipsos	9.0 %	29.0 %	4.0 %	7.0 %	4.0 %	18.0 %	6.0 %	21.0 %	2.0 %
8 maj	28 apr - 5 maj	Demoskop	7.2 %	30.1 %	3.3 %	10.0 %	2.7 %	20.7 %	6.5 %	18.8 %	0.7 %
11 maj	30 apr - 5 maj	Skop	9.7 %	32.6 %	2.6 %	7.0 %	4.4 %	20.4 %	5.2 %	16.3 %	1.8 %
15 maj	4 - 14 maj	Sifo	9.0 %	31.7 %	3.9 %	7.2 %	3.4 %	18.6 %	6.1 %	18.9 %	1.2 %
26 maj	15 - 18 maj	Sentio	9.2 %	28.2 %	3.5 %	4.7 %	3.1 %	19.4 %	7.8 %	22.2 %	1.9 %
26 maj	15 - 22 maj	Ipsos	8.9 %	30.7 %	4.0 %	6.9 %	3.0 %	19.8 %	5.9 %	19.8 %	1.0 %
28 maj	27 apr - 24 maj	Novus	9.4 %	31.5 %	4.1 %	8.1 %	3.0 %	19.2 %	5.5 %	18.0 %	1.2 %
4 jun	31 maj - 3 jun	Skop	10.5 %	31.3 %	3.7 %	6.6 %	3.6 %	20.3 %	5.8 %	17.0 %	1.2 %
6 jun	26 maj - 3 jun	Demoskop	8.2 %	27.8 %	3.9 %	9.7 %	2.7 %	20.9 %	6.5 %	19.3 %	1.0 %
8 jun	29 apr - 27 maj	SCB	8.2 %	33.7 %	4.1 %	6.0 %	3.3 %	20.1 %	6.4 %	17.1 %	1.1 %
12 jun	1 - 11 jun	Sifo	9.6 %	30.0 %	3.5 %	7.0 %	3.4 %	19.5 %	6.8 %	18.9 %	1.3 %
23 jun	2 - 15 jun	Ipsos	9.0 %	31.0 %	3.0 %	7.0 %	4.0 %	17.0 %	7.0 %	20.0 %	2.0 %
24 jun	12 - 15 jun	Sentio	9.7 %	28.8 %	3.9 %	6.4 %	2.9 %	18.6 %	5.9 %	20.7 %	3.1 %
25 jun	25 maj - 21 jun	Novus	9.4 %	30.6 %	3.4 %	7.8 %	3.0 %	20.7 %	5.7 %	18.4 %	1.0 %
11 jul	30 jun - 7 jul	Demoskop	7.8 %	28.5 %	4.1 %	8.4 %	3.2 %	20.8 %	5.7 %	19.7 %	1.8 %
16 jul	10 - 12 jul	Sentio	8.5 %	25.5 %	5.1 %	5.8 %	2.5 %	20.3 %	5.7 %	24.1 %	2.5 %
6 aug	23 - 28 jul	Skop	10.4 %	28.2 %	3.4 %	8.0 %	3.7 %	21.1 %	5.9 %	17.9 %	1.4 %
7 aug	28 jul - 4 aug	Demoskop	6.8 %	27.3 %	3.4 %	8.8 %	3.3 %	21.6 %	5.6 %	20.5 %	2.7 %
21 aug	10 - 20 aug	Sifo	9.2 %	27.8 %	3.6 %	7.8 %	4.2 %	20.3 %	6.4 %	19.7 %	1.0 %
25 aug	11 - 23 aug	Ipsos	10.0 %	27.0 %	4.0 %	7.0 %	3.0 %	20.0 %	6.0 %	21.0 %	2.0 %
27 aug	3 - 23 aug	Novus	9.3 %	28.3 %	3.8 %	7.6 %	2.9 %	21.2 %	5.8 %	19.4 %	1.7 %
4 sep	20 - 25 aug	Sentio	10.0 %	26.7 %	5.0 %	5.1 %	2.8 %	20.3 %	5.4 %	22.4 %	2.3 %
4 sep	25 aug - 1 sep	Demoskop	7.5 %	26.1 %	3.2 %	9.2 %	3.1 %	22.2 %	5.3 %	21.6 %	1.8 %
17 sep	24 aug - 13 sep	Novus	9.3 %	27.0 %	4.3 %	7.8 %	3.2 %	21.2 %	5.7 %	19.6 %	1.9 %
18 sep	7 - 17 sep	Sifo	8.9 %	27.5 %	3.8 %	8.2 %	3.5 %	20.6 %	6.2 %	19.8 %	1.5 %
22 sep	17 - 20 sep	Sentio	10.0 %	26.7 %	5.0 %	5.1 %	2.8 %	20.3 %	5.4 %	22.4 %	2.3 %
25 sep	16 - 22 sep	Sentio	8.6 %	25.1 %	3.9 %	7.5 %	3.0 %	19.7 %	7.1 %	22.4 %	2.7 %
9 okt	1 - 7 okt	Demoskop	9.2 %	25.0 %	3.5 %	9.4 %	3.4 %	21.1 %	6.7 %	19.9 %	1.8 %
15 okt	14 sep - 11 okt	Novus	9.6 %	26.5 %	5.2 %	8.4 %	3.4 %	20.7 %	5.7 %	19.2 %	1.3 %
16 okt	5 - 15 okt	Sifo	10.0 %	26.4 %	4.3 %	7.7 %	3.2 %	20.6 %	5.9 %	20.2 %	1.7 %
26 okt	15 - 18 okt	Sentio	9.7 %	24.8 %	4.6 %	6.5 %	2.8 %	18.8 %	5.9 %	24.1 %	2.8 %
28 okt	13 - 25 okt	Ipsos	10.9 %	24.8 %	5.0 %	8.9 %	3.0 %	20.8 %	5.9 %	19.8 %	1.0 %
28 okt	23 - 26 okt	Skop	12.1 %	26.0 %	3.1 %	9.1 %	3.3 %	21.1 %	5.9 %	17.8 %	1.6 %
6 nov	27 okt - 4 nov	Demoskop	9.4 %	24.0 %	3.4 %	9.2 %	3.1 %	22.4 %	6.9 %	19.9 %	1.7 %
12 nov	12 okt - 8 nov	Novus	10.6 %	26.4 %	3.9 %	8.6 %	2.7 %	22.0 %	5.0 %	19.4 %	1.4 %
13 nov	2 - 12 nov	Sifo	10.2 %	27.0 %	4.2 %	7.6 %	3.2 %	20.8 %	5.7 %	19.9 %	1.4 %
18 nov	12 - 16 nov	Sentio	9.9 %	23.3 %	3.3 %	5.8 %	3.3 %	19.8 %	5.9 %	25.2 %	3.5 %
24 nov	10 - 22 nov	Ipsos	11.0 %	26.0 %	4.0 %	9.0 %	3.0 %	21.0 %	5.0 %	20.0 %	1.0 %
2 dec	2 - 26 nov	SCB	9.3 %	29.4 %	4.2 %	7.6 %	3.0 %	22.1 %	5.4 %	17.6 %	1.4 %
10 dec	9 nov - 6 dec	Novus	9.7 %	28.0 %	4.1 %	8.2 %	2.7 %	21.7 %	5.4 %	18.5 %	1.7 %
11 dec	20 nov - 6 dec	Sifo	10.3 %	27.8 %	3.7 %	7.7 %	3.0 %	21.7 %	5.3 %	18.9 %	1.6 %
13 dec	26 nov - 2 dec	Demoskop	9.3 %	25.0 %	3.6 %	9.4 %	2.8 %	23.2 %	5.7 %	19.6 %	1.4 %
15 dec	1 - 13 dec	Ipsos	10.9 %	25.7 %	5.0 %	6.9 %	3.0 %	22.8 %	5.0 %	19.8 %	1.0 %
16 dec	30 nov - 3 dec	Skop	11.2 %	26.1 %	4.0 %	8.5 %	2.7 %	21.8 %	6.5 %	18.2 %	1.0 %
21 dec	11 - 14 dec	Sentio	11.3 %	24.1 %	3.2 %	6.0 %	2.6 %	22.1 %	4.8 %	23.2 %	2.7 %
12 jan	7 dec - 10 jan	Novus	9.5 %	28.5 %	4.0 %	8.3 %	2.6 %	21.8 %	4.6 %	19.4 %	1.3 %
13 jan	29 dec - 11 jan	Demoskop	9.9 %	23.0 %	5.0 %	9.2 %	2.3 %	23.2 %	5.9 %	19.5 %	2.0 %
22 jan	11 - 21 jan	Sifo	10.0 %	27.6 %	3.7 %	8.1 %	3.2 %	22.4 %	4.9 %	18.6 %	1.5 %
27 jan	13 - 25 jan	Ipsos	10.0 %	27.0 %	4.0 %	8.0 %	3.0 %	22.0 %	5.0 %	19.0 %	2.0 %
31 jan	28 - 31 jan	Sentio	10.7 %	26.3 %	3.6 %	5.8 %	2.2 %	20.7 %	5.2 %	23.3 %	2.2 %
3 feb	11 - 31 jan	Novus	10.8 %	26.9 %	4.1 %	8.5 %	2.7 %	23.1 %	4.7 %	18.1 %	1.1 %
5 feb	26 jan - 3 feb	Demoskop	9.4 %	24.7 %	3.5 %	9.6 %	3.1 %	23.2 %	6.5 %	18.3 %	1.7 %
12 feb	1 - 11 feb	Sifo	10.0 %	27.6 %	3.6 %	8.1 %	2.8 %	23.5 %	4.3 %	18.8 %	1.3 %
24 feb	9 - 21 feb	Ipsos	9.0 %	27.0 %	4.0 %	9.0 %	3.0 %	23.0 %	5.0 %	19.0 %	1.0 %
1 mar	19 - 23 feb	Skop	10.2 %	27.4 %	4.0 %	10.0 %	2.4 %	24.5 %	4.6 %	15.5 %	1.4 %
4 mar	1 - 28 feb	Novus	9.5 %	27.0 %	4.4 %	8.3 %	3.3 %	24.0 %	4.1 %	17.9 %	1.5 %
5 mar	26 feb - 3 mar	Demoskop	9.3 %	24.2 %	3.1 %	9.9 %	2.7 %	24.5 %	5.8 %	18.2 %	2.3 %
8 mar	25 - 28 feb	Sentio	10.1 %	25.4 %	3.3 %	7.3 %	3.1 %	21.7 %	6.0 %	20.7 %	2.4 %
12 mar	1 - 11 mar	Sifo	9.7 %	27.2 %	4.2 %	8.8 %	2.9 %	22.9 %	4.4 %	18.4 %	1.5 %
24 mar	9 - 21 mar	Ipsos	10.9 %	26.7 %	4.0 %	8.9 %	3.0 %	21.8 %	4.0 %	19.8 %	1.0 %
7 apr	26 - 29 mar	Sentio	8.9 %	26.5 %	5.0 %	6.0 %	3.1 %	20.1 %	5.9 %	22.2 %	2.3 %
8 apr	1 mar - 4 apr	Novus	9.5 %	27.6 %	4.5 %	8.4 %	2.9 %	22.6 %	4.2 %	18.7 %	1.6 %
9 apr	30 mar - 7 apr	Demoskop	8.4 %	25.4 %	3.3 %	9.8 %	3.7 %	22.8 %	5.2 %	19.2 %	2.2 %
16 apr	5 - 15 apr	Sifo	9.4 %	27.8 %	4.3 %	8.9 %	3.1 %	21.3 %	4.8 %	18.9 %	1.5 %
28 apr	13 - 25 apr	Ipsos	10.0 %	26.0 %	4.0 %	9.0 %	3.0 %	22.0 %	5.0 %	19.0 %	2.0 %
28 apr	23 - 26 apr	Sentio	10.2 %	25.4 %	4.6 %	6.7 %	2.5 %	21.2 %	5.6 %	21.4 %	2.4 %
11 maj	28 apr - 5 maj	Demoskop	6.9 %	25.4 %	4.1 %	11.8 %	3.2 %	23.1 %	5.2 %	19.0 %	1.3 %
14 maj	3 - 13 maj	Sifo	9.6 %	26.9 %	4.0 %	9.3 %	2.9 %	21.7 %	5.2 %	18.8 %	1.6 %
29 maj	11 - 25 maj	Ipsos	10.0 %	26.0 %	4.0 %	9.0 %	3.0 %	22.0 %	5.0 %	20.0 %	1.0 %
31 maj	21 - 24 maj	Sentio	10.3 %	25.5 %	5.0 %	7.0 %	3.3 %	19.3 %	5.2 %	21.0 %	3.4 %
2 jun	28 apr - 27 maj	SCB	8.9 %	28.2 %	3.8 %	9.5 %	2.5 %	22.4 %	4.5 %	18.9 %	1.3 %
5 jun	26 maj - 2 jun	Demoskop	8.5 %	24.2 %	3.5 %	10.7 %	3.6 %	22.9 %	5.6 %	19.2 %	1.8 %
11 jun	3 maj - 6 jun	Novus	9.6 %	26.1 %	4.2 %	9.4 %	2.3 %	22.6 %	5.3 %	19.2 %	1.3 %
18 jun	7 - 17 jun	Sifo	9.6 %	25.8 %	3.5 %	9.9 %	2.3 %	22.4 %	5.1 %	20.2 %	1.2 %
22 jun	8 - 20 jun	Ipsos	12.0 %	24.0 %	3.0 %	10.0 %	2.0 %	22.0 %	6.0 %	19.0 %	2.0 %
